iter	Passed	Remaining
436	1339	1725
437	1341	1720
438	1342	1716
439	1346	1713
440	1349	1710
441	1351	1706
442	1369	1721
443	1371	1717
444	1372	1712
445	1374	1707
446	1377	1704
447	1380	1701
448	1383	1697
449	1386	1694
450	1388	1689
451	1396	1693
452	1398	1689
453	1401	1685
454	1404	1682
455	1409	1681
456	1412	1677
457	1414	1673
458	1418	1672
459	1425	1673
460	1429	1671
461	1430	1666
462	1432	1661
463	1433	1656
464	1436	1652
465	1440	1650
466	1441	1645
467	1443	1640
468	1444	1635
469	1447	1632
470	1457	1637
471	1459	1632
472	1460	1627
473	1462	1622
474	1464	1618
475	1468	1616
476	1472	1614
477	1473	1609
478	1476	1605
479	1480	1603
480	1488	1605
481	1489	1600
482	1490	1595
483	1492	1591
484	1494	1586
485	1496	1582
486	1500	1580
487	1502	1575
488	1503	1571
489	1504	1566
490	1506	1561
491	1507	1556
492	1508	1551
493	1515	1552
494	1518	1548
495	1520	1544
496	1523	1542
497	1532	1544
498	1534	1540
499	1536	1536
500	1550	1544
501	1553	1541
502	1556	1537
503	1563	1538
504	1565	1534
505	1567	1530
506	1569	1526
507	1584	1534
508	1586	1530
509	1589	1527
510	1593	1525
511	1595	1520
512	1597	1516
513	1599	1512
514	1601	1507
515	1605	1506
516	1610	1504
517	1612	1500
518	1614	1496
519	1617	1492
520	1621	1490
521	1624	1487
522	1625	1482
523	1627	1478
524	1630	1475
525	1632	1471
526	1636	1469
527	1638	1464
528	1640	1460
529	1641	1455
530	1642	1450
531	1644	1446
532	1645	1441
533	1647	1437
534	1650	1434
535	1653	1431
536	1655	1426
537	1656	1422
538	1660	1420
539	1661	1415
540	1670	1417
541	1672	1413
542	1673	1408
543	1675	1404
544	1677	1400
545	1679	1396
546	1683	1394
547	1685	1390
548	1687	1386
549	1691	1383
550	1692	1379
551	1699	1379
552	1701	1375
553	1704	1371
554	1705	1367
555	1707	1363
556	1710	1360
557	1714	1358
558	1716	1354
559	1718	1350
560	1720	1346
561	1722	1342
562	1726	1340
563	1728	1336
564	1729	1331
565	1731	1327
566	1732	1323
567	1734	1319
568	1735	1314
569	1737	1310
570	1742	1309
571	1748	1308
572	1750	1304
573	1752	1300
574	1757	1299
575	1759	1295
576	1761	1291
577	1763	1287
578	1765	1283
579	1767	1280
580	1773	1278
581	1775	1274
582	1788	1279
583	1789	1274
584	1791	1270
585	1792	1266
586	1793	1262
587	1795	1258
588	1800	1256
589	1802	1252
590	1805	1249
591	1806	1244
592	1807	1240
593	1809	1236
594	1810	1232
595	1819	1233
596	1820	1229
597	1822	1225
598	1824	1221
599	1825	1217
600	1827	1213
601	1832	1211
602	1834	1207
603	1837	1205
604	1842	1202
605	1849	1202
606	1851	1198
607	1853	1195
608	1855	1191
609	1857	1187
610	1861	1185
611	1864	1182
612	1865	1178
613	1867	1174
614	1868	1170
615	1872	1167
616	1885	1170
617	1888	1167
618	1896	1167
619	1899	1164
620	1900	1160
621	1903	1157
622	1911	1156
623	1912	1152
624	1914	1148
625	1916	1144
626	1919	1141
627	1924	1139
628	1925	1135
629	1927	1131
630	1928	1127
631	1932	1125
632	1936	1122
633	1938	1118
634	1940	1115
635	1942	1111
636	1943	1107
637	1944	1103
638	1946	1099
639	1947	1095
640	1952	1093
641	1955	1090
642	1956	1086
643	1960	1083
644	1961	1079
645	1962	1075
646	1969	1074
647	1972	1071
648	1974	1067
649	1975	1063
650	1977	1059
651	1978	1056
652	1984	1054
653	1986	1050
654	1987	1046
655	1989	1043
656	1991	1039
657	1999	1039
658	2001	1035
659	2002	1031
660	2004	1027
661	2005	1023
662	2009	1021
663	2014	1019
664	2015	1015
665	2016	1011
666	2018	1007
667	2019	1003
668	2020	999
669	2030	1000
670	2031	996
671	2033	992
672	2034	988
673	2036	984
674	2037	981
675	2043	979
676	2045	976
677	2047	972
678	2048	968
679	2049	964
680	2051	960
681	2065	962
682	2068	959
683	2077	959
684	2079	956
685	2081	952
686	2082	949
687	2084	945
688	2091	944
689	2093	940
690	2094	936
691	2095	932
692	2096	928
693	2098	925
694	2101	922
695	2105	919
696	2106	915
697	2108	912
698	2109	908
699	2113	905
700	2114	902
701	2121	900
702	2123	897
703	2124	893
704	2125	889
705	2127	885
706	2128	882
707	2133	880
708	2135	876
709	2137	873
710	2138	869
711	2140	865
712	2141	861
713	2154	862
714	2155	859
715	2157	855
716	2158	852
717	2160	848
718	2167	846
719	2168	843
720	2170	839
721	2171	836
722	2172	832
723	2179	830
724	2184	828
725	2185	824
726	2187	821
727	2188	817
